CPU_Usage(%),GPU_Usage(%),Power_Consumption(kWh),AI_Model_Efficiency_Score,Processing_Time(ms)
61,15,2.895102449718346,96,267.6205475839761
24,18,1.0658368031299197,66,132.2669397507418
81,64,1.0972159421867482,94,10.98907369663462
70,34,1.1459406291772678,81,95.30002090260034
30,39,4.729189063670788,97,67.36236029784264
92,89,3.7980451325360383,71,230.0515250553639
96,41,1.230718525980444,53,310.0064938733039
84,9,1.3475708769452064,54,114.411654255556
84,87,3.788732636918944,86,470.1379770239217
97,82,1.2027373015647826,90,13.274243319705011
33,30,1.555525820006729,98,388.427497431018
12,66,4.835060747691796,62,316.3503370699167
31,8,1.6488793612779433,83,193.04185251336412
62,93,3.47734557667016,94,34.73958276207988
11,46,4.903840793302387,71,317.4684201742969
97,93,2.184335452129067,72,198.95062130416756
39,22,0.57882195887928,52,468.77089831247736
47,44,1.598662806900684,91,275.5751366959853
11,76,4.238947361037674,83,470.42924053381904
73,43,4.390739761797665,81,118.03700980191901
69,18,3.9583371403570604,94,365.60569607841063
30,36,1.0089941858445786,98,312.45202021587556
42,55,4.079796672633814,70,372.3100326173428
85,42,4.634050086470769,95,115.18725334654303
67,27,3.2027429414580624,93,335.84731295650914
31,67,4.733939103521291,70,254.0397925978658
98,19,4.220774976703448,93,373.984237704095
58,29,3.5013718264590827,60,170.2518756343907
68,21,3.0973335652028666,88,446.12794247797376
51,70,2.0685815025888674,53,51.30764415956168
69,82,1.2167935035926232,50,405.52276620768214
89,57,3.2222926521074338,77,432.0466166493945
24,55,1.9315019912815377,73,410.4536325697424
71,43,4.398974003874404,84,261.2359331882702
71,55,4.9700162181138285,62,224.80864021507304
56,74,3.8859249317700764,96,498.16852039718964
71,10,0.9071676287917283,83,122.29425609493944
60,71,1.7990851798878715,60,277.9692232792618
64,11,0.9909933429458737,85,338.6310074373395
73,55,3.427302415062721,66,353.42514157210167
12,76,3.943358890501031,84,109.97208621190356
60,46,4.665536738963203,67,330.4571052465026
16,68,2.4717755588539445,89,411.00108757585525
30,19,4.556190423147999,71,34.509102642344985
82,33,4.4505102156859735,73,456.6454337294051
48,37,1.9273807254442936,68,24.45698702115091
27,31,4.41005281493257,86,184.42580591931323
13,40,2.1905251334677693,88,17.748466154151412
98,33,1.8359117355212635,70,47.80113258439511
69,42,3.420835964574769,57,456.47245973823874
23,61,1.9777155254828647,77,183.88180706561243
18,31,3.335939367481149,54,218.13804990827592
99,59,3.2442431247441252,66,115.5187468774508
62,37,3.0354751730680647,86,302.5769273914927
11,72,2.21188866904759,85,301.45357519211694
93,90,2.9682487474316455,68,192.37819199435742
69,70,3.184184637434397,76,173.1870871846452
80,14,2.9555909982296305,83,443.632511008488
53,9,2.499887537380407,60,197.80927742467867
17,78,0.5660017567081872,94,251.81548615566004
56,42,3.1417776846551795,96,148.819333588216
44,17,1.2579997331422383,61,395.5170566449924
87,35,3.3915918602623534,70,204.7495968805549
90,51,3.917049475652897,60,261.66941280671904
45,92,2.7520038910883367,88,134.14501332923408
59,56,2.9406364924088226,77,493.9532002472134
13,60,4.78165351849696,54,152.8329130526242
11,19,4.312253126176584,66,387.66384014372034
