Location_Latitude,Location_Longitude,Traffic_Density(cars/km²),Average_Speed(km/h),Time_of_Day
37.94392828347646,-121.67539083148984,454,29.062077802675795,Evening
37.76582903923491,-121.32724401375307,262,18.22512881486613,Afternoon
37.00540492367267,-121.66273310394577,231,27.63987551508502,Morning
37.00134627095656,-121.82040021855991,392,74.45295157383136,Night
37.37810076978745,-121.71864937814615,378,50.71121864948287,Evening
37.14339537001089,-121.54242466774957,89,47.3436146121348,Afternoon
37.0183861421516,-121.52461414464452,16,51.74755197847231,Morning
37.464066689404504,-121.2169997686528,281,35.621978602256064,Afternoon
37.94306189740697,-121.24984677056848,236,66.4974914223659,Morning
37.32381957490243,-121.54318219544386,25,46.630037451017486,Evening
37.661140678428694,-121.15433265090122,433,18.172353193815688,Night
37.65223535313244,-121.88576286140861,21,19.034558738034406,Evening
37.25108010366517,-121.7446466497711,300,47.58014025518328,Afternoon
37.650425248823865,-121.17202353649775,250,75.55991526495875,Afternoon
37.21233397428689,-121.62200596137384,30,31.58464851733391,Morning
37.12200741357689,-121.01881844120616,187,70.86788182014527,Evening
37.70138328555969,-121.53374671847216,436,63.48669106052155,Morning
37.113440817103914,-121.20806437703624,237,27.34687100348348,Evening
37.99690921858936,-121.59769295861763,282,12.543852382136972,Afternoon
37.18345240115023,-121.57504648093757,297,17.12930855996679,Morning
37.59414186275646,-121.61711685271581,306,60.99457536932081,Morning
37.41137457141259,-121.28092437948919,143,23.97688166284527,Evening
37.126386422405666,-121.45248211594,481,35.98896443537757,Night
37.02784390757741,-121.05622188863163,292,45.11894162044974,Evening
37.62273228229283,-121.74910968346589,413,60.7827717915114,Night
37.80675756378913,-121.89943726791655,162,17.926185628138775,Evening
37.84201566150674,-121.60673851490078,75,38.4456483694223,Afternoon
37.482713473076934,-121.38328729235323,146,43.95510363998868,Morning
37.777455467182385,-121.1392010630845,101,47.85789447800778,Evening
37.672847133488546,-121.65380311331967,446,67.28524489766517,Afternoon
37.724254527499134,-121.34621324887554,326,22.017473653025185,Evening
37.49259900522181,-121.64980131897678,431,66.54820162786356,Morning
37.633411740242124,-121.38278041700555,268,58.50148993876565,Evening
37.805525913576055,-121.11519205296935,477,48.91095699392715,Night
37.397884175557024,-121.76864235774059,463,58.96695092818003,Morning
37.805978900867586,-121.59575835789296,112,38.84124172661595,Night
37.592016842789064,-121.00673480357025,490,19.68783101776872,Afternoon
37.16590102437079,-121.13144297175054,64,56.603566818575715,Afternoon
37.024684157224584,-121.4353601421038,266,46.72706146799356,Evening
37.36275360039915,-121.48337240814573,110,54.756236037994285,Night
37.54669632829634,-121.71539961769533,207,33.6599146719943,Night
37.83982035220349,-121.48279057230647,310,73.48066041378851,Morning
37.127485680140246,-121.15181850172006,235,51.11589080029039,Night
37.80020634768358,-121.31482548672221,440,15.978173900361167,Night
37.863009046067226,-121.70995597182201,472,41.48627934931001,Morning
37.15068748700083,-121.79853607894647,246,62.9449238320544,Morning
37.85159431930422,-121.73479146300318,35,65.58941932125907,Night
37.99145356784279,-121.83024079860718,130,44.62179369346311,Evening
37.72683883104824,-121.90435930397628,407,72.63232995819108,Morning
37.78476968182499,-121.58086382555794,191,28.73679060360083,Morning
37.99441526755887,-121.88670039560174,208,38.741908806678666,Night
37.60548125052595,-121.8280874422729,311,72.9017837398279,Night
37.30788638201625,-121.45267531566051,264,72.73797015301052,Morning
37.837530834076055,-121.83540072630042,131,57.99989381772767,Night
37.61448577751163,-121.9361202325691,40,70.12863829855542,Morning
37.581195423720956,-121.68261114997212,481,16.214128686936284,Evening
37.25363555551404,-121.77968090137803,324,70.54964833454434,Evening
37.75633426958289,-121.48469481200563,488,32.44339345851587,Morning
37.0816672758601,-121.89763291541679,294,22.483205869975144,Morning
37.92428707079466,-121.24822921231703,115,26.755888543943243,Afternoon
37.325823460770486,-121.09376648056487,233,39.2577955609721,Afternoon
37.12777465278999,-121.2565648260438,282,27.583440322312704,Night
37.442366533102415,-121.46717296259861,407,32.439731021154934,Night
37.04246990925653,-121.13933217821112,241,19.448494025014945,Morning
37.684626194264965,-121.30508162021849,429,30.732373589129896,Morning
37.90270551044536,-121.9894488775498,265,50.05986701794008,Afternoon
37.83726300713851,-121.60590984722549,451,40.92975956637447,Afternoon
37.12736947344788,-121.1490481005932,33,34.27031328651378,Morning
37.12627113710773,-121.65414114202473,118,62.25164901999798,Evening
37.81343448232426,-121.96478482647447,200,72.54569799753224,Evening
37.924254274603115,-121.25382036144772,356,62.97524560316779,Night
37.46066982983349,-121.19796172971714,34,33.240049148237546,Morning
37.498971116913765,-121.8394063049567,196,62.11095174862876,Morning
37.31826204138573,-121.46265950315681,297,20.638612773183585,Night
37.89426511825641,-121.80804456100428,125,19.122259166390364,Afternoon
37.644902905292355,-121.28076558095586,347,34.19389259253113,Afternoon
37.288251577167365,-121.72844954482251,375,66.53916583308398,Evening
37.29878287105425,-121.68378487743666,411,27.24437730696113,Morning
37.8912000730636,-121.1550291463599,46,14.42773862290757,Afternoon
37.01363402390582,-121.5236776477931,291,19.219667464444857,Evening
37.32272657272664,-121.33024554878175,146,70.1121477970706,Evening
37.55435668121637,-121.59762694927753,236,54.36482993231014,Evening
37.148217462099325,-121.70199314280624,329,27.724081435898366,Afternoon
37.09209875419959,-121.37452193957535,337,48.87070777297269,Afternoon
37.81527633109056,-121.84514242592118,413,46.93057356977453,Morning
37.89440438864851,-121.62700016443314,191,55.880518490846285,Morning
37.82360642079819,-121.79096296261407,371,26.323128809513143,Evening
37.89878788973735,-121.30420503305925,95,70.50820910360784,Evening
37.55311197105837,-121.05579116165389,476,31.655799345600897,Afternoon
37.81225812099034,-121.00448903198414,423,58.58921577833658,Afternoon
37.3840426383911,-121.5497231895584,62,11.128725246055042,Morning
37.666267861479035,-121.74746961036355,357,36.085999092590306,Morning
37.988835531389164,-121.55717062961567,364,34.61968725711658,Night
37.22572772383913,-121.15273059003728,244,48.04391000081102,Morning
37.38989974629108,-121.79399432144795,456,15.091538324403755,Afternoon
37.480047377310086,-121.04790434834707,276,65.30919616082758,Evening
37.13801548702005,-121.65813423120184,296,25.244656123729797,Night
37.08103861046506,-121.01419634054969,442,57.392647041740716,Morning
37.829722866321625,-121.16139111246603,496,66.22484862708652,Morning
37.976794372827584,-121.19142946585261,109,49.33138693690592,Afternoon
37.40472506382966,-121.68209532622672,487,61.861824470538984,Night
37.08764983619465,-121.99122278805207,96,56.33022185505039,Morning
37.06581176069058,-121.617867091174,412,34.887085800640534,Evening
37.891318206360296,-121.69819063033731,405,66.62009773234956,Afternoon
37.46381424972768,-121.9626030095912,24,30.629095891986957,Night
37.32002731656239,-121.49463474349407,424,49.9849042426062,Morning
37.4764612712394,-121.59696868871727,436,62.17784173990776,Morning
37.318304094692344,-121.36544353225848,110,36.52691368687553,Night
37.48903577530762,-121.37881367780592,174,31.19373253321975,Afternoon
37.85955639691794,-121.87925336410332,472,42.15422071209759,Night
37.59230137106209,-121.02303445387338,38,67.25744460444075,Night
37.69465377281018,-121.81306857055856,123,75.09452342019654,Afternoon
37.36467067623434,-121.5547259752353,116,48.15583890019231,Morning
37.738505878510516,-121.51188245656627,419,56.30263437265563,Evening
37.66661708487937,-121.18693720278588,373,73.22915355672399,Afternoon
37.11956199775206,-121.90077040390536,139,16.898279598905965,Evening
37.57264285311558,-121.57135572079147,93,26.245500450631553,Morning
37.25674349630976,-121.3714978297638,280,59.62300043761077,Night
37.80409566963359,-121.78484437837595,253,67.66211233386097,Evening
37.42593770846694,-121.37253210123393,397,69.99203198314046,Morning
37.99468416519649,-121.07633516245035,223,39.05750237984528,Morning
37.092500437938966,-121.00248186882733,315,16.25379316043068,Night
37.78034786274016,-121.96754892320932,175,40.64470341097339,Night
37.67370173354216,-121.76441177175532,288,26.151421314493764,Morning
37.767498830590704,-121.6896928842083,68,30.38375184976369,Morning
37.30752979549045,-121.60087389955504,99,64.0587289786254,Evening
37.4920544893824,-121.75774284241523,380,15.28689602181208,Morning
37.79650851972371,-121.79651200544468,340,67.93068522364915,Morning
37.23254133162086,-121.0454461575825,421,39.93683600769184,Evening
37.22603319678865,-121.08147839722949,203,51.724475177041654,Afternoon
37.55105095329493,-121.95300749899688,132,16.275656186497528,Evening
37.523563579529856,-121.66118697839515,145,33.615135485009574,Evening
37.28226247041293,-121.5948514463216,422,16.279064331039205,Night
37.29807565052482,-121.76098546533406,148,77.30806060167767,Evening
37.277845163206564,-121.37112710301183,238,66.50831545283754,Morning
37.771512061998486,-121.35961925335576,283,42.174292804952216,Morning
37.65190086556246,-121.1494957716714,448,25.652178382656977,Morning
37.83241718341025,-121.25913073161479,59,75.34185736748965,Afternoon
37.97547302831402,-121.45742667303405,407,34.12176170088802,Morning
37.47416429627199,-121.34641322995559,127,21.268910218116233,Afternoon
37.06669388140545,-121.72601121845697,211,49.42150719177684,Morning
37.04809231041204,-121.40694381003264,492,76.06418842413713,Evening
37.29566503927162,-121.51077274525008,402,10.26812033502258,Night
37.93254458935245,-121.86665553268362,492,26.66873902777991,Morning
37.523213054970874,-121.75745572341702,404,75.69133482872853,Afternoon
37.27178651608013,-121.70830654927842,200,21.97601768000134,Afternoon
37.39916679451102,-121.07569043294744,373,17.92704161478739,Night
37.59859510740467,-121.76961336061412,469,49.91310510598631,Morning
37.65294965813784,-121.71075609718034,332,70.3290676306381,Evening
37.1539195097829,-121.63064586991057,190,43.39768723857483,Morning
37.977031676545174,-121.33625726137461,432,79.61949796791673,Morning
37.544772226982786,-121.88176160752786,87,57.5420189676595,Night
37.13568831779228,-121.04605478750622,449,15.185243504731343,Morning
37.89363525334613,-121.13442877990524,421,79.49824921773828,Evening
37.07463843107943,-121.42278392699104,84,38.55259657461333,Afternoon
37.907735433177514,-121.32596213257504,304,30.118177369183776,Night
37.99656565628898,-121.98333952875578,290,49.05154285045199,Evening
37.700431799156505,-121.66105522465155,30,31.301531427460503,Afternoon
37.77044722107399,-121.20433976933856,403,16.052025498410664,Night
37.33730283646749,-121.92251702620761,180,10.09998401554237,Night
37.94157685273393,-121.71768616578927,24,41.470834704418365,Afternoon
37.52971396610837,-121.41470317166569,220,68.58043955586146,Afternoon
37.732388446597554,-121.74358697230106,57,50.06206299410536,Evening
37.924107715911276,-121.06602202585547,95,79.94451092604086,Morning
37.97517997597551,-121.86894136919571,158,30.079265195303996,Morning
37.833204356596674,-121.20260564209222,197,29.631854533203875,Morning
37.30301750698203,-121.4920513080936,381,21.182462216376095,Morning
37.96654751655208,-121.24966922418004,489,21.48445117857346,Morning
37.62811953124357,-121.68928467168855,315,29.963061720703347,Evening
37.93064247635196,-121.48551039768796,160,65.4988031691469,Night
37.67610502581435,-121.14316465027683,150,73.40297534455135,Evening
37.30723896184772,-121.53312190087689,78,78.2561018795377,Evening
37.37002452414281,-121.64028013808974,269,26.260275786751684,Evening
37.55047177710294,-121.46384461374727,485,71.69082819298642,Night
37.79001484155988,-121.28263724696363,343,32.97785624941359,Evening
37.317982551340336,-121.5564366545015,465,17.89883811618191,Evening
37.579731166134195,-121.06112302485772,18,70.9017447864116,Night
37.3456249935764,-121.70505417595766,130,54.5273944250533,Evening
37.815769404635105,-121.52453639383089,380,21.53116272567432,Morning
37.46672809376795,-121.24307234065856,428,40.08818802591018,Afternoon
37.07672282685289,-121.31087890950424,110,30.108038641394735,Evening
37.16605252148154,-121.13635894758285,158,61.57561980971379,Afternoon
37.06110466761963,-121.00319081931889,451,41.739136143698765,Evening
37.499302946014325,-121.57314167120491,155,79.24959615744694,Evening
37.106337297348226,-121.88884912021669,362,13.832148758171659,Morning
37.11413996930963,-121.96958411919204,465,34.85106862953727,Night
37.94104826003838,-121.27312309386024,252,43.733011697698416,Afternoon
